date,transactions
13-Feb,1684
13-Mar,1724
13-Apr,1699
13-May,1702
13-Jun,1701
13-Jul,1675
13-Aug,1689
13-Sep,1688
13-Oct,1653
13-Nov,1680
13-Dec,2101
14-Jan,1696
14-Feb,1731
14-Mar,1748
14-Apr,1762
14-May,1751
14-Jun,1701
14-Jul,1667
14-Aug,1738
14-Sep,1712
14-Oct,1682
14-Nov,1701
14-Dec,2117
15-Jan,1727
15-Feb,1724
15-Mar,1717
15-Apr,1723
15-May,1756
15-Jun,1687
15-Jul,1672
15-Aug,1680
15-Sep,1631
15-Oct,1596
15-Nov,1590
15-Dec,1981
16-Jan,1601
16-Feb,1604
16-Mar,1589
16-Apr,1655
16-May,1622
16-Jun,1566
16-Jul,1578
16-Aug,1569
16-Sep,1594
16-Oct,1592
16-Nov,1625
16-Dec,2012
17-Jan,1642
17-Feb,1649
17-Mar,1631
17-Apr,1666
17-May,1673
17-Jun,1647
17-Jul,1663
